Oct 10, 2018 5:05:05 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /Users/robert/xipki/xipki-pki-4.0.1-SNAPSHOT/lock
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2018-10-10T17:05:06,843 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.ow2.asm/asm-analysis/6.2.1
2018-10-10T17:05:06,843 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.ow2.asm/asm-util/6.2.1
2018-10-10T17:05:06,843 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |       mvn:org.ops4j.pax.url/pax-url-wrap/2.5.4/jar/uber
2018-10-10T17:05:06,846 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 | Installing bundles:
2018-10-10T17:05:06,846 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:io.netty/netty-buffer/4.1.29.Final
2018-10-10T17:05:06,850 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:io.netty/netty-codec/4.1.29.Final
2018-10-10T17:05:06,853 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:io.netty/netty-codec-http/4.1.29.Final
2018-10-10T17:05:06,857 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:io.netty/netty-common/4.1.29.Final
2018-10-10T17:05:06,861 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:io.netty/netty-handler/4.1.29.Final
2018-10-10T17:05:06,864 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:io.netty/netty-resolver/4.1.29.Final
